pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11 
0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,bac latent features,ignore,none,asis,CLOUD,10hp10cv,1,5,403,624,222,0.9,0.9284,random,434,cv,10,10,NA,5,15,1.3312352844514,0.968602964049205,1.30087468028069,1.36411243351176,,,
0.525,0.464,1.03,0.909,0.628,Thu May 03 00:27:06 2018,simpls,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,4,cv,10,10,NA,5,4
0.528,0.467,1,0.905,0.623,Thu May 03 00:28:25 2018,spikeslab,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,464,222,1.699,1.883,random,76,cv,10,10,NA,5,17
0.46,0.439,0.963,0.952,0.716,Thu May 03 00:28:38 2018,spls,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,11,cv,10,10,NA,5,2,0.734362074173987,0.427872885135002
-5.523,-4.158,8.18,8.77,8.65,Thu May 03 00:28:46 2018,superpc,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,5,cv,10,10,NA,5,0.451081797014922,3
Fail,Fail,Fail,Fail,Fail,Thu May 03 00:28:52 2018,svmBoundrangeString,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,3,222,3
Fail,Fail,Fail,Fail,Fail,Thu May 03 00:28:57 2018,svmExpoString,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,6,222,3
0.466,0.439,1,0.951,0.706,Thu May 03 00:29:51 2018,svmLinear,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,52,cv,10,10,NA,5,0.0618171788845989
0.48,0.457,0.983,0.92,0.688,Thu May 03 00:33:43 2018,svmLinear2,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,229,cv,10,10,NA,5,0.0386798528692958
0.435,0.42,1.02,0.983,0.747,Thu May 03 00:34:04 2018,svmLinear3,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,53,222,1.699,1.883,random,19,cv,10,10,NA,5,5.33045889307968,L2
0.515,0.471,0.919,0.897,0.643,Thu May 03 00:34:14 2018,svmPoly,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,8,cv,10,10,NA,5,2,0.00399419883508476,8.45541634616451
0.003,0.001,1.83,1.7,1.32,Thu May 03 00:34:24 2018,svmRadial,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,8,cv,10,10,NA,5,0.150709825420028,37.8952793605851
0.003,0.001,1.86,1.7,1.32,Thu May 03 00:34:34 2018,svmRadialCost,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,8,cv,10,10,NA,5,6.19819285310197
0.003,0.001,1.81,1.7,1.32,Thu May 03 00:34:44 2018,svmRadialSigma,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,8,cv,10,10,NA,5,0.00659001309781887,12.3023616773992
Fail,Fail,Fail,Fail,Fail,Thu May 03 00:34:49 2018,svmSpectrumString,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,3,222,3
0.121,0.151,-1,1.44,1.17,Thu May 03 00:35:02 2018,treebag,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,128,222,1.699,1.883,random,10,cv,10,10,NA,5,none
0.515,0.459,1.03,0.918,0.641,Thu May 03 00:35:43 2018,widekernelpls,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,6,cv,10,10,NA,5,5
-0.011,0.033,1.21,1.64,1.34,Thu May 03 00:36:15 2018,xgbLinear,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,368,222,1.699,1.883,random,29,cv,10,10,NA,5,23,0.255582810991027,0.00118351537342939,1.68323076632805
0.183,0.17,1.33,1.41,1.08,Thu May 03 00:38:40 2018,xgbTree,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,448,222,1.699,1.883,random,143,cv,10,10,NA,5,194,2,0.111949895860627,7.80778713757172,0.308815102744848,8,0.507427277858369
0.051,0.061,1.55,1.59,1.26,Thu May 03 00:39:01 2018,xyf,1,2,sparsity 2 row center,ignore,none,ICA,ALTA,15th10hp10cv,1,5,403,486,222,1.699,1.883,random,18,cv,10,10,NA,5,4,8,0.394484523017891,rectangular
0.069,0.115,0.818,1.5,1.23,Thu May 03 00:40:12 2018,avNNet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,155,222,1.699,0.9937,random,67,cv,10,10,NA,5,14,0.0780052907740497,FALSE
Fail,Fail,Fail,Fail,Fail,Thu May 03 00:40:22 2018,bag,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,7
0.437,0.428,0.555,0.971,0.747,Thu May 03 00:42:59 2018,bagEarth,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,256,222,1.699,0.9937,random,154,cv,10,10,NA,5,7,1
0.464,0.454,-1,0.928,0.711,Thu May 03 00:44:20 2018,bagEarthGCV,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,256,222,1.699,0.9937,random,23,cv,10,10,NA,5,1
0.321,0.316,0.684,1.16,0.9,Thu May 03 00:50:19 2018,bartMachine,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,421,222,1.699,0.9937,random,301,cv,10,10,NA,5,72,2.63157041510567,0.917222156468779,1.04691634047776,2.03066074755043
0.517,0.46,-1,0.916,0.639,Thu May 03 00:50:32 2018,bayesglm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,none
0.464,0.446,0.52,0.94,0.71,Thu May 03 00:50:46 2018,blasso,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,119,222,1.699,0.9937,random,12,cv,10,10,NA,5,0.632783186621964
0.482,0.457,-1,0.921,0.686,Thu May 03 00:51:00 2018,blassoAveraged,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,394,222,1.699,0.9937,random,12,cv,10,10,NA,5,none
0.483,0.455,-1,0.925,0.685,Thu May 03 00:51:12 2018,bridge,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,401,222,1.699,0.9937,random,10,cv,10,10,NA,5,none
0.507,0.467,0.526,0.905,0.652,Thu May 03 00:54:44 2018,BstLm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,210,cv,10,10,NA,5,56,0.323859695921186
0.091,0.173,0.782,1.4,1.21,Thu May 03 00:55:13 2018,cforest,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,420,222,1.699,0.9937,random,26,cv,10,10,NA,5,8
-0.155,0.011,0.932,1.68,1.53,Thu May 03 00:55:24 2018,ctree,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,9,cv,10,10,NA,5,0.318027032539248
-0.155,0.011,0.925,1.68,1.53,Thu May 03 00:55:35 2018,ctree2,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,9,cv,10,10,NA,5,5,0.498795910272747
0.464,0.451,0.548,0.931,0.71,Thu May 03 00:56:47 2018,cubist,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,1,222,1.699,0.9937,random,69,cv,10,10,NA,5,31,8
0,-0.002,0.975,1.7,1.33,Thu May 03 00:57:01 2018,dnn,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,613,222,1.699,0.9937,random,12,cv,10,10,NA,5,9,12,9,0.0734288478270173,0.363788414397277
0.393,0.388,0.579,1.04,0.805,Thu May 03 00:57:13 2018,earth,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,9,cv,10,10,NA,5,7,1
0.517,0.46,0.52,0.916,0.639,Thu May 03 00:57:21 2018,elm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,100,222,1.699,0.9937,random,6,cv,10,10,NA,5,10,purelin
0.457,0.447,0.505,0.939,0.72,Thu May 03 00:57:30 2018,enet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,6,cv,10,10,NA,5,0.752326576272026,0.000301026931321038
-0.074,0.013,1.03,1.68,1.42,Thu May 03 01:01:41 2018,evtree,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,101,222,1.699,0.9937,random,249,cv,10,10,NA,5,2.01064388174564
0.253,0.294,0.782,1.2,0.99,Thu May 03 01:03:31 2018,extraTrees,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,4,222,1.699,0.9937,random,108,cv,10,10,NA,5,6,2
0.456,0.439,0.511,0.952,0.72,Thu May 03 01:03:40 2018,foba,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,6,cv,10,10,NA,5,5,0.0782272550485045
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:03:53 2018,gam,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,11
0.399,0.418,0.575,0.988,0.796,Thu May 03 01:06:12 2018,gamboost,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,137,cv,10,10,NA,5,96,yes
0.517,0.46,0.552,0.916,0.639,Thu May 03 01:06:36 2018,gamSpline,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,21,cv,10,10,NA,5,0.0149702734779567
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:06:45 2018,gaussprLinear,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,7
0.503,0.458,0.535,0.921,0.659,Thu May 03 01:06:55 2018,gaussprPoly,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,7,cv,10,10,NA,5,2,0.0473571289833783
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:07:07 2018,gaussprRadial,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,10
0.117,0.168,0.748,1.41,1.17,Thu May 03 01:07:45 2018,gbm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,480,222,1.699,0.9937,random,36,cv,10,10,NA,5,1488,4,0.272181960214861,5
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:11:16 2018,gbm_h2o,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,1,222,209
0.395,0.377,-1,1.06,0.803,Thu May 03 01:11:23 2018,gcvEarth,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,1
0.517,0.46,-1,0.916,0.639,Thu May 03 01:11:35 2018,glm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:11:46 2018,glm.nb,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,9
0.46,0.449,0.515,0.936,0.714,Thu May 03 01:12:11 2018,glmboost,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,23,cv,10,10,NA,5,105,yes
0.512,0.47,0.52,0.9,0.646,Thu May 03 01:12:21 2018,glmnet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,8,cv,10,10,NA,5,0.648829337209463,0.0226986276117178
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:15:45 2018,glmnet_h2o,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,1,222,202
0.447,0.428,-1,0.971,0.732,Thu May 03 01:15:57 2018,glmStepAIC,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,9,cv,10,10,NA,5,none
0.412,0.384,0.55,1.05,0.778,Thu May 03 01:16:15 2018,icr,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,128,222,1.699,0.9937,random,16,cv,10,10,NA,5,8
0.424,0.405,0.543,1.01,0.763,Thu May 03 01:16:21 2018,kernelpls,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,2
0.198,0.238,0.818,1.29,1.06,Thu May 03 01:16:34 2018,kknn,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,11,cv,10,10,NA,5,21,2.24044242384844,inv
0.214,0.241,0.762,1.29,1.04,Thu May 03 01:16:41 2018,knn,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,5,cv,10,10,NA,5,5
0.002,0.002,0.98,1.7,1.32,Thu May 03 01:16:50 2018,krlsPoly,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,7,cv,10,10,NA,5,0.00492709408385557,3
0.402,0.385,0.599,1.04,0.793,Thu May 03 01:17:13 2018,krlsRadial,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,21,cv,10,10,NA,5,0.517888944512619,130.407190693401
0.472,0.455,0.528,0.925,0.699,Thu May 03 01:17:21 2018,lars,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,5,cv,10,10,NA,5,0.828208856284618
0.507,0.47,0.514,0.9,0.652,Thu May 03 01:17:28 2018,lars2,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,5,cv,10,10,NA,5,9
0.461,0.449,0.533,0.935,0.714,Thu May 03 01:17:35 2018,lasso,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,0.806023959768936
0.447,0.428,0.51,0.971,0.732,Thu May 03 01:17:42 2018,leapBackward,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,5
0.447,0.428,0.505,0.971,0.732,Thu May 03 01:17:49 2018,leapForward,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,5
0.49,0.466,0.512,0.906,0.676,Thu May 03 01:17:55 2018,leapSeq,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,4
0.517,0.46,-1,0.916,0.639,Thu May 03 01:18:01 2018,lm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,3,cv,10,10,NA,5,TRUE
0.447,0.428,-1,0.971,0.732,Thu May 03 01:18:11 2018,lmStepAIC,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,8,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,PackageFail,Thu May 03 01:18:27 2018,logicBag,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,13
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:18:36 2018,logreg,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,3,222,7
0.447,0.428,0.535,0.971,0.732,Thu May 03 01:19:21 2018,M5,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,43,cv,10,10,NA,5,Yes,Yes,Yes
0.447,0.428,0.527,0.971,0.732,Thu May 03 01:19:40 2018,M5Rules,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,17,cv,10,10,NA,5,Yes,Yes
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:19:46 2018,mlpKerasDecay,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,3,222,3
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:19:52 2018,mlpKerasDropout,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,6,222,4
0.49,0.466,0.513,0.906,0.675,Thu May 03 01:20:21 2018,msaenet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,26,cv,10,10,NA,5,0.709175786143169,9,0.821821043558884
Fail,Fail,Fail,Fail,PackageFail,Thu May 03 01:20:35 2018,mxnet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,12
Fail,Fail,Fail,Fail,PackageFail,Thu May 03 01:20:50 2018,mxnetAdam,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,13
0.122,0.163,0.837,1.42,1.16,Thu May 03 01:21:11 2018,nnet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,210,222,1.699,0.9937,random,19,cv,10,10,NA,5,19,0.00342015534769111
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:21:20 2018,nnls,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,7
0,0,-1,1.7,1.33,Thu May 03 01:21:25 2018,null,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,3,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:21:36 2018,ordinalNet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,9
0.259,0.272,0.755,1.24,0.982,Thu May 03 01:21:56 2018,parRF,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,29,222,1.699,0.9937,random,18,cv,10,10,NA,5,5
0.107,0.121,0.827,1.49,1.18,Thu May 03 01:22:16 2018,pcaNNet,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,67,222,1.699,0.9937,random,18,cv,10,10,NA,5,6,0.154706185679404
0.415,0.384,0.589,1.05,0.775,Thu May 03 01:22:22 2018,pcr,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,8
Fail,Fail,Fail,Fail,PackageFail,Thu May 03 01:22:37 2018,pls,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,13
0.526,0.486,0.531,0.873,0.629,Thu May 03 01:23:13 2018,plsRglm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,34,cv,10,10,NA,5,8,0.114124782942235
0.463,0.425,0.547,0.978,0.711,Thu May 03 01:23:24 2018,ppr,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,8,cv,10,10,NA,5,1
Fail,Fail,Fail,Fail,PackageFail,Thu May 03 01:23:39 2018,pythonKnnReg,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,13
-0.831,-0.594,1.34,2.71,2.42,Thu May 03 01:24:12 2018,qrf,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,95,222,1.699,0.9937,random,31,cv,10,10,NA,5,9
0.183,0.22,0.744,1.33,1.08,Thu May 03 01:24:33 2018,ranger,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,2,222,1.699,0.9937,random,19,cv,10,10,NA,5,6,variance
0.218,0.251,0.733,1.27,1.04,Thu May 03 01:30:23 2018,Rborist,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,10,222,1.699,0.9937,random,348,cv,10,10,NA,5,8
0.448,0.429,0.507,0.969,0.731,Thu May 03 01:30:32 2018,relaxo,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,7,cv,10,10,NA,5,5.09960960298349,0.0317793115973473
0.223,0.257,0.781,1.26,1.03,Thu May 03 01:30:53 2018,rf,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,376,222,1.699,0.9937,random,18,cv,10,10,NA,5,4
0.517,0.46,0.531,0.916,0.639,Thu May 03 01:31:01 2018,ridge,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,6,cv,10,10,NA,5,1.99600693653374e-05
0.504,0.459,0.52,0.919,0.657,Thu May 03 01:31:08 2018,rlm,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,5,cv,10,10,NA,5,FALSE,psi.huber
-0.274,-0.089,0.918,1.85,1.69,Thu May 03 01:31:15 2018,rpart,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,5,cv,10,10,NA,5,0.0231629077029566
-0.165,-0.002,-1,1.7,1.54,Thu May 03 01:31:21 2018,rpart1SE,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,80,222,1.699,0.9937,random,3,cv,10,10,NA,5,none
-0.314,-0.122,0.9,1.91,1.74,Thu May 03 01:31:28 2018,rpart2,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,2
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:31:34 2018,rqlasso,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,3,222,4
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:31:39 2018,rqnc,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,6,222,4
0.225,0.232,0.694,1.3,1.03,Thu May 03 01:32:35 2018,RRF,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,593,222,1.699,0.9937,random,54,cv,10,10,NA,5,5,0.0419898603577167,0.448326150188223
0.191,0.225,0.744,1.32,1.07,Thu May 03 01:33:02 2018,RRFglobal,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,226,222,1.699,0.9937,random,24,cv,10,10,NA,5,6,0.374003716511652
0.543,0.482,-1,0.879,0.605,Thu May 03 01:33:08 2018,rvmLinear,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,none
0.531,0.474,0.532,0.893,0.621,Thu May 03 01:33:22 2018,rvmPoly,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,12,cv,10,10,NA,5,1.0044419389029e-05,1
-0.015,0.003,0.952,1.69,1.35,Thu May 03 01:33:44 2018,rvmRadial,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,19,cv,10,10,NA,5,0.21207046470923
0.149,0.212,0.788,1.34,1.13,Thu May 03 01:37:02 2018,SBC,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,80,222,1.699,0.9937,random,197,cv,10,10,NA,5,1,0.224576683249325,0.106291834963486
0.517,0.46,0.514,0.916,0.639,Thu May 03 01:37:09 2018,simpls,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,4,cv,10,10,NA,5,7
0.455,0.437,0.531,0.955,0.721,Thu May 03 01:38:26 2018,spikeslab,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,119,222,1.699,0.9937,random,75,cv,10,10,NA,5,6
0.508,0.454,0.531,0.927,0.651,Thu May 03 01:38:38 2018,spls,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,9,cv,10,10,NA,5,3,0.0610042933840305,0.108376202522777
0.478,0.459,0.606,0.919,0.691,Thu May 03 01:38:45 2018,superpc,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,5,cv,10,10,NA,5,0.938669829629362,3
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:38:51 2018,svmBoundrangeString,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,3,222,3
Fail,Fail,Fail,Fail,Fail,Thu May 03 01:38:56 2018,svmExpoString,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,6,222,3
0.506,0.469,0.533,0.901,0.654,Thu May 03 01:42:35 2018,svmLinear,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,217,cv,10,10,NA,5,0.0445138993461563
0.46,0.438,0.508,NA,NA,Thu May 03 01:44:34 2018,svmLinear2,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,624,222,1.699,0.9937,random,117,cv,10,10,NA,5,5.08022894203634
0.433,0.418,0.488,NA,NA,Thu May 03 01:44:54 2018,svmLinear3,1,1,sparsity 2 row center,ignore,none,centernscale,ALTA,15th10hp10cv,1,5,403,56,222,1.699,0.9937,random,17,cv,10,10,NA,5,14.0428942391405,L2
